2021-05-05 16:31:23,719 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,720 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,721 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,721 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,722 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,725 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,727 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,730 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,732 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,739 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,740 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,740 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,742 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,745 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,746 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,747 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,747 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,748 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,753 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,753 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,754 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,755 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,761 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,767 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,768 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,769 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,769 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,770 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,770 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,771 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,772 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,773 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,774 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,777 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,783 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,784 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,792 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,796 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,797 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,805 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,807 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,808 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,809 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,810 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,821 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,827 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,830 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,831 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,835 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,839 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,839 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,840 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,841 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,841 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,842 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,842 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,843 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,843 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,844 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,845 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,845 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,846 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,847 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,847 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,848 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,848 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,849 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,849 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,855 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,857 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,859 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,859 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,860 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,862 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
