2021-05-05 09:33:11,189 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41508) is connected
2021-05-05 09:33:11,189 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:11,190 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00/\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:11,192 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:11,196 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x000\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:11,200 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:12,410 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:12,412 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:13,182 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:13,182 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:13,183 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:13,186 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:13,187 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:13,188 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:13,189 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:13,189 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:13,190 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:17,187 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41512) is connected
2021-05-05 09:33:17,188 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,189 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41514) is connected
2021-05-05 09:33:17,189 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,191 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41516) is connected
2021-05-05 09:33:17,191 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,192 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x001\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:17,193 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,194 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x002\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:17,195 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,196 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x003\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:17,196 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:17,416 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:17,416 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:21,193 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:21,194 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
