2021-05-05 17:25:48,519 | 2991 | proxy.proxy, send_to_switch, 87 | DEBUG | set data and sent to switch : b'\x04\r\x00R\xd7\xd1\x0fz\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,520 | 2991 | proxy.proxy, handle_controller, 341 | DEBUG | waiting data ......
2021-05-05 17:25:48,523 | 2991 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\r\x00R\xd7\xd1\x0fz\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,524 | 2991 | api.observer, update, 32 | DEBUG | observed from observable: b'\x04\r\x00R\xd7\xd1\x0fz\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,529 | 2991 | api.observer, update, 35 | DEBUG | parsed message : openflow(msg=OFPUnparseableMsg(body=b'\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06',buf=None,datapath=<ryu.ofproto.ofproto_protocol.ProtocolDesc object at 0x7f9314bd81f0>,msg_len=82,msg_type=13,version=4,xid=3620802426))
2021-05-05 17:25:48,541 | 2991 | api.observer, update, 36 | DEBUG | parsed message to json dict : {'openflow': {'msg': {'OFPUnparseableMsg': {'body': '/////wAAAAEAEAAAAAAAAAAAABD////7/+UAAAAAAAD///////9ijUGhiFIIBgABCAAGBAABYo1BoYhSCgAABQAAAAAAAAoAAAY=', 'buf': None, 'datapath': <ryu.ofproto.ofproto_protocol.ProtocolDesc object at 0x7f9314bd81f0>, 'msg_len': 82, 'msg_type': 13, 'version': 4, 'xid': 3620802426}}}}
2021-05-05 17:25:48,546 | 2991 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,551 | 2991 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,553 | 2991 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffb\x8dA\xa1\x88R\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01b\x8dA\xa1\x88R\n\x00\x00\x05\x00\x00\x00\x00\x00\x00\n\x00\x00\x06'
2021-05-05 17:25:48,561 | 2991 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:25:48,561 | 2991 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x03\x00\x00\x00\x00\x00\x00b\x8dA\xa1\x88R\ny\xbf\xeb\xfa\xde\x08\x06\x00\x01\x08\x00\x06\x04\x00\x02\ny\xbf\xeb\xfa\xde\n\x00\x00\x06b\x8dA\xa1\x88R\n\x00\x00\x05'
